table_name,column_name,data_type
kitchen_queue,id,uuid
kitchen_queue,restaurant_id,uuid
kitchen_queue,order_item_id,uuid
kitchen_queue,station,text
kitchen_queue,status,text
kitchen_queue,created_at,timestamp with time zone
kitchen_queue,updated_at,timestamp with time zone
menu_categories,id,uuid
menu_categories,restaurant_id,uuid
menu_categories,name,text
menu_categories,position,integer
menu_categories,created_at,timestamp with time zone
menu_categories,updated_at,timestamp with time zone
menu_items,id,uuid
menu_items,restaurant_id,uuid
menu_items,category_id,uuid
menu_items,name,text
menu_items,price,integer
menu_items,is_active,boolean
menu_items,created_at,timestamp with time zone
menu_items,updated_at,timestamp with time zone
menu_items,station,text
menu_items,image_url,text
menu_option_groups,id,uuid
menu_option_groups,restaurant_id,uuid
menu_option_groups,menu_item_id,uuid
menu_option_groups,name,text
menu_option_groups,min_select,integer
menu_option_groups,max_select,integer
menu_option_groups,required,boolean
menu_option_groups,position,integer
menu_option_groups,created_at,timestamp with time zone
menu_option_groups,updated_at,timestamp with time zone
menu_options,id,uuid
menu_options,restaurant_id,uuid
menu_options,group_id,uuid
menu_options,name,text
menu_options,price_delta,integer
menu_options,is_active,boolean
menu_options,position,integer
menu_options,created_at,timestamp with time zone
menu_options,updated_at,timestamp with time zone
order_items,id,uuid
order_items,order_id,uuid
order_items,item_id,uuid
order_items,qty,integer
order_items,price,integer
order_items,note,text
order_items,created_at,timestamp with time zone
order_items,updated_at,timestamp with time zone
orders,id,uuid
orders,restaurant_id,uuid
orders,table_id,uuid
orders,user_id,uuid
orders,status,text
orders,created_at,timestamp with time zone
orders,updated_at,timestamp with time zone
orders,is_paid,boolean
orders,paid_at,timestamp with time zone
orders,total_amount,integer
restaurants,id,uuid
restaurants,name,text
restaurants,slug,text
restaurants,created_at,timestamp with time zone
restaurants,updated_at,timestamp with time zone
restaurants,business_number,text
restaurants,phone,text
restaurants,address,text
restaurants,email,text
restaurants,subdomain,text
restaurants,domain,text
restaurants,enable_new_order_sound,boolean
restaurants,enable_new_order_popup,boolean
restaurants,hide_urls_in_qr,boolean
restaurants,hide_urls_on_web,boolean
restaurants,table_count,integer
restaurants,default_table_capacity,integer
restaurants,table_capacities,jsonb
restaurants,waitlist_token,text
tables,id,uuid
tables,restaurant_id,uuid
tables,name,text
tables,token,text
tables,capacity,integer
tables,created_at,timestamp with time zone
tables,updated_at,timestamp with time zone
tables,is_available,boolean
user_profile,id,uuid
user_profile,role,text
user_profile,restaurant_id,uuid
user_profile,created_at,timestamp with time zone
user_profile,updated_at,timestamp with time zone
user_profile,email,text
user_profile,full_name,text
waitlist,id,uuid
waitlist,restaurant_id,uuid
waitlist,name,text
waitlist,phone,text
waitlist,party_size,integer
waitlist,status,text
waitlist,notes,text
waitlist,is_reservation,boolean
waitlist,reservation_time,timestamp with time zone
waitlist,duration_minutes,integer
waitlist,special_request,text
waitlist,deposit_cents,integer
waitlist,created_at,timestamp with time zone
waitlist,updated_at,timestamp with time zone
waitlist,table_id,uuid
